Source,Target ,Type,Attribute,Value,SourceType,TargetType
2010/12,2011/11,Temporary-Temporary,Term,0,Temporary,Temporary
2011/01,2011/11,Temporary-Temporary,Term,0,Temporary,Temporary
2011/02,2011/11,Temporary-Temporary,Term,0,Temporary,Temporary
2011/03,2011/11,Temporary-Temporary,Term,0,Temporary,Temporary
2011/04,2011/11,Temporary-Temporary,Term,0,Temporary,Temporary
2011/05,2011/11,Temporary-Temporary,Term,0,Temporary,Temporary
2011/06,2011/11,Temporary-Temporary,Term,0,Temporary,Temporary
2011/07,2011/11,Temporary-Temporary,Term,0,Temporary,Temporary
2011/08,2011/11,Temporary-Temporary,Term,0,Temporary,Temporary
2011/09,2011/11,Temporary-Temporary,Term,0,Temporary,Temporary
2011/10,2011/11,Temporary-Temporary,Term,0,Temporary,Temporary
2010/09,2011/12,Temporary-Temporary,Term,0,Temporary,Temporary
2010/10,2011/12,Temporary-Temporary,Term,0,Temporary,Temporary
2010/11,2011/12,Temporary-Temporary,Term,0,Temporary,Temporary
2010/12,2011/12,Temporary-Temporary,Term,0,Temporary,Temporary
2011/01,2011/12,Temporary-Temporary,Term,0,Temporary,Temporary
2011/02,2011/12,Temporary-Temporary,Term,0,Temporary,Temporary
2011/03,2011/12,Temporary-Temporary,Term,0,Temporary,Temporary
2011/04,2011/12,Temporary-Temporary,Term,0,Temporary,Temporary
2011/05,2011/12,Temporary-Temporary,Term,0,Temporary,Temporary
2011/06,2011/12,Temporary-Temporary,Term,0,Temporary,Temporary
2011/07,2011/12,Temporary-Temporary,Term,0,Temporary,Temporary
2011/08,2011/12,Temporary-Temporary,Term,0,Temporary,Temporary
2011/09,2011/12,Temporary-Temporary,Term,0,Temporary,Temporary
2011/10,2011/12,Temporary-Temporary,Term,0,Temporary,Temporary
2011/11,2011/12,Temporary-Temporary,Term,0,Temporary,Temporary
2010/09,2012/01,Temporary-Temporary,Term,0,Temporary,Temporary
2010/10,2012/01,Temporary-Temporary,Term,0,Temporary,Temporary
2010/11,2012/01,Temporary-Temporary,Term,0,Temporary,Temporary
2010/12,2012/01,Temporary-Temporary,Term,0,Temporary,Temporary
2011/01,2012/01,Temporary-Temporary,Term,0,Temporary,Temporary
2011/02,2012/01,Temporary-Temporary,Term,0,Temporary,Temporary
2011/03,2012/01,Temporary-Temporary,Term,0,Temporary,Temporary
2011/04,2012/01,Temporary-Temporary,Term,0,Temporary,Temporary
2011/05,2012/01,Temporary-Temporary,Term,0,Temporary,Temporary
2011/06,2012/01,Temporary-Temporary,Term,0,Temporary,Temporary
2011/07,2012/01,Temporary-Temporary,Term,0,Temporary,Temporary
2011/08,2012/01,Temporary-Temporary,Term,0,Temporary,Temporary
2011/09,2012/01,Temporary-Temporary,Term,0,Temporary,Temporary
2011/10,2012/01,Temporary-Temporary,Term,0,Temporary,Temporary
2011/11,2012/01,Temporary-Temporary,Term,0,Temporary,Temporary
2011/12,2012/01,Temporary-Temporary,Term,0,Temporary,Temporary
2010/09,2012/02,Temporary-Temporary,Term,0,Temporary,Temporary
2010/10,2012/02,Temporary-Temporary,Term,0,Temporary,Temporary
2010/11,2012/02,Temporary-Temporary,Term,0,Temporary,Temporary
2010/12,2012/02,Temporary-Temporary,Term,0,Temporary,Temporary
2011/01,2012/02,Temporary-Temporary,Term,0,Temporary,Temporary
2011/02,2012/02,Temporary-Temporary,Term,0,Temporary,Temporary
2011/03,2012/02,Temporary-Temporary,Term,0,Temporary,Temporary
2011/04,2012/02,Temporary-Temporary,Term,0,Temporary,Temporary
2011/05,2012/02,Temporary-Temporary,Term,0,Temporary,Temporary
2011/06,2012/02,Temporary-Temporary,Term,0,Temporary,Temporary
2011/07,2012/02,Temporary-Temporary,Term,0,Temporary,Temporary
2011/08,2012/02,Temporary-Temporary,Term,0,Temporary,Temporary
2011/09,2012/02,Temporary-Temporary,Term,0,Temporary,Temporary
2011/10,2012/02,Temporary-Temporary,Term,0,Temporary,Temporary
2011/11,2012/02,Temporary-Temporary,Term,0,Temporary,Temporary
2011/12,2012/02,Temporary-Temporary,Term,0,Temporary,Temporary
2012/01,2012/02,Temporary-Temporary,Term,0,Temporary,Temporary
2010/09,2012/03,Temporary-Temporary,Term,0,Temporary,Temporary
2010/10,2012/03,Temporary-Temporary,Term,0,Temporary,Temporary
2010/11,2012/03,Temporary-Temporary,Term,0,Temporary,Temporary
2010/12,2012/03,Temporary-Temporary,Term,0,Temporary,Temporary
2011/01,2012/03,Temporary-Temporary,Term,0,Temporary,Temporary
2011/02,2012/03,Temporary-Temporary,Term,0,Temporary,Temporary
2011/03,2012/03,Temporary-Temporary,Term,0,Temporary,Temporary
2011/04,2012/03,Temporary-Temporary,Term,0,Temporary,Temporary
2011/05,2012/03,Temporary-Temporary,Term,0,Temporary,Temporary
2011/06,2012/03,Temporary-Temporary,Term,0,Temporary,Temporary
2011/07,2012/03,Temporary-Temporary,Term,0,Temporary,Temporary
2011/08,2012/03,Temporary-Temporary,Term,0,Temporary,Temporary
2011/09,2012/03,Temporary-Temporary,Term,0,Temporary,Temporary
2011/10,2012/03,Temporary-Temporary,Term,0,Temporary,Temporary
2011/11,2012/03,Temporary-Temporary,Term,0,Temporary,Temporary
2011/12,2012/03,Temporary-Temporary,Term,0,Temporary,Temporary
2012/01,2012/03,Temporary-Temporary,Term,0,Temporary,Temporary
2012/02,2012/03,Temporary-Temporary,Term,0,Temporary,Temporary
2010/09,2012/04,Temporary-Temporary,Term,0,Temporary,Temporary
2010/10,2012/04,Temporary-Temporary,Term,0,Temporary,Temporary
2010/11,2012/04,Temporary-Temporary,Term,0,Temporary,Temporary
2010/12,2012/04,Temporary-Temporary,Term,0,Temporary,Temporary
2011/01,2012/04,Temporary-Temporary,Term,0,Temporary,Temporary
2011/02,2012/04,Temporary-Temporary,Term,0,Temporary,Temporary
2011/03,2012/04,Temporary-Temporary,Term,0,Temporary,Temporary
2011/04,2012/04,Temporary-Temporary,Term,0,Temporary,Temporary
2011/05,2012/04,Temporary-Temporary,Term,0,Temporary,Temporary
2011/06,2012/04,Temporary-Temporary,Term,0,Temporary,Temporary
2011/07,2012/04,Temporary-Temporary,Term,0,Temporary,Temporary
2011/08,2012/04,Temporary-Temporary,Term,0,Temporary,Temporary
2011/09,2012/04,Temporary-Temporary,Term,0,Temporary,Temporary
2011/10,2012/04,Temporary-Temporary,Term,0,Temporary,Temporary
2011/11,2012/04,Temporary-Temporary,Term,0,Temporary,Temporary
2011/12,2012/04,Temporary-Temporary,Term,0,Temporary,Temporary
2012/01,2012/04,Temporary-Temporary,Term,0,Temporary,Temporary
2012/02,2012/04,Temporary-Temporary,Term,0,Temporary,Temporary
2012/03,2012/04,Temporary-Temporary,Term,0,Temporary,Temporary
2010/09,2012/05,Temporary-Temporary,Term,0,Temporary,Temporary
2010/10,2012/05,Temporary-Temporary,Term,0,Temporary,Temporary
2010/11,2012/05,Temporary-Temporary,Term,0,Temporary,Temporary
2010/12,2012/05,Temporary-Temporary,Term,0,Temporary,Temporary
2011/01,2012/05,Temporary-Temporary,Term,0,Temporary,Temporary
2011/02,2012/05,Temporary-Temporary,Term,0,Temporary,Temporary
2011/03,2012/05,Temporary-Temporary,Term,0,Temporary,Temporary
2011/04,2012/05,Temporary-Temporary,Term,0,Temporary,Temporary
2011/05,2012/05,Temporary-Temporary,Term,0,Temporary,Temporary
2011/06,2012/05,Temporary-Temporary,Term,0,Temporary,Temporary
2011/07,2012/05,Temporary-Temporary,Term,0,Temporary,Temporary
2011/08,2012/05,Temporary-Temporary,Term,0,Temporary,Temporary
2011/09,2012/05,Temporary-Temporary,Term,0,Temporary,Temporary
2011/10,2012/05,Temporary-Temporary,Term,0,Temporary,Temporary
2011/11,2012/05,Temporary-Temporary,Term,0,Temporary,Temporary
2011/12,2012/05,Temporary-Temporary,Term,0,Temporary,Temporary
2012/01,2012/05,Temporary-Temporary,Term,0,Temporary,Temporary
2012/02,2012/05,Temporary-Temporary,Term,0,Temporary,Temporary
2012/03,2012/05,Temporary-Temporary,Term,0,Temporary,Temporary
2012/04,2012/05,Temporary-Temporary,Term,0,Temporary,Temporary
2010/09,2012/06,Temporary-Temporary,Term,0,Temporary,Temporary
2010/10,2012/06,Temporary-Temporary,Term,0,Temporary,Temporary
2010/11,2012/06,Temporary-Temporary,Term,0,Temporary,Temporary
2010/12,2012/06,Temporary-Temporary,Term,0,Temporary,Temporary
2011/01,2012/06,Temporary-Temporary,Term,0,Temporary,Temporary
2011/02,2012/06,Temporary-Temporary,Term,0,Temporary,Temporary
2011/03,2012/06,Temporary-Temporary,Term,0,Temporary,Temporary
2011/04,2012/06,Temporary-Temporary,Term,0,Temporary,Temporary
2011/05,2012/06,Temporary-Temporary,Term,0,Temporary,Temporary
2011/06,2012/06,Temporary-Temporary,Term,0,Temporary,Temporary
2011/07,2012/06,Temporary-Temporary,Term,0,Temporary,Temporary
2011/08,2012/06,Temporary-Temporary,Term,0,Temporary,Temporary
2011/09,2012/06,Temporary-Temporary,Term,0,Temporary,Temporary
2011/10,2012/06,Temporary-Temporary,Term,0,Temporary,Temporary
2011/11,2012/06,Temporary-Temporary,Term,0,Temporary,Temporary
2011/12,2012/06,Temporary-Temporary,Term,0,Temporary,Temporary
2012/01,2012/06,Temporary-Temporary,Term,0,Temporary,Temporary
2012/02,2012/06,Temporary-Temporary,Term,0,Temporary,Temporary
2012/03,2012/06,Temporary-Temporary,Term,0,Temporary,Temporary
2012/04,2012/06,Temporary-Temporary,Term,0,Temporary,Temporary
2012/05,2012/06,Temporary-Temporary,Term,0,Temporary,Temporary
2010/09,2012/07,Temporary-Temporary,Term,0,Temporary,Temporary
2010/10,2012/07,Temporary-Temporary,Term,0,Temporary,Temporary
2010/11,2012/07,Temporary-Temporary,Term,0,Temporary,Temporary
2010/12,2012/07,Temporary-Temporary,Term,0,Temporary,Temporary
2011/01,2012/07,Temporary-Temporary,Term,0,Temporary,Temporary
2011/02,2012/07,Temporary-Temporary,Term,0,Temporary,Temporary
2011/03,2012/07,Temporary-Temporary,Term,0,Temporary,Temporary
2011/04,2012/07,Temporary-Temporary,Term,0,Temporary,Temporary
2011/05,2012/07,Temporary-Temporary,Term,0,Temporary,Temporary
2011/06,2012/07,Temporary-Temporary,Term,0,Temporary,Temporary
2011/07,2012/07,Temporary-Temporary,Term,0,Temporary,Temporary
2011/08,2012/07,Temporary-Temporary,Term,0,Temporary,Temporary
2011/09,2012/07,Temporary-Temporary,Term,0,Temporary,Temporary
2011/10,2012/07,Temporary-Temporary,Term,0,Temporary,Temporary
2011/11,2012/07,Temporary-Temporary,Term,0,Temporary,Temporary
2011/12,2012/07,Temporary-Temporary,Term,0,Temporary,Temporary
2012/01,2012/07,Temporary-Temporary,Term,0,Temporary,Temporary
2012/02,2012/07,Temporary-Temporary,Term,0,Temporary,Temporary
2012/03,2012/07,Temporary-Temporary,Term,0,Temporary,Temporary
2012/04,2012/07,Temporary-Temporary,Term,0,Temporary,Temporary
2012/05,2012/07,Temporary-Temporary,Term,0,Temporary,Temporary
2012/06,2012/07,Temporary-Temporary,Term,0,Temporary,Temporary
2010/09,2012/08,Temporary-Temporary,Term,0,Temporary,Temporary
2010/10,2012/08,Temporary-Temporary,Term,0,Temporary,Temporary
2010/11,2012/08,Temporary-Temporary,Term,0,Temporary,Temporary
2010/12,2012/08,Temporary-Temporary,Term,0,Temporary,Temporary
2011/01,2012/08,Temporary-Temporary,Term,0,Temporary,Temporary
2011/02,2012/08,Temporary-Temporary,Term,0,Temporary,Temporary
